M|efConstruction|efSearch|recall@1|build_time|search_time|memory_usage
256|2|16|10|6930|137|2575274
256|2|32|10|6930|139|2575274
256|4|2|10|6234|143|2575274
256|4|4|10|6234|145|2575274
256|4|8|10|6234|137|2575274
256|4|16|10|6234|156|2575274
256|4|32|10|6234|136|2575274
256|8|2|10|6174|175|2575274
256|8|4|10|6174|150|2575274
256|8|8|10|6174|147|2575274
256|8|16|10|6174|187|2575274
256|8|32|10|6174|153|2575274
256|16|2|10|6378|159|2575274
256|16|4|10|6378|161|2575274
256|16|8|10|6378|179|2575274
256|16|16|10|6378|180|2575274
256|16|32|10|6378|177|2575274
256|32|2|10|6133|140|2575274
256|32|4|10|6133|140|2575274
256|32|8|10|6133|132|2575274
256|32|16|10|6133|147|2575274
256|32|32|10|6133|145|2575274
512|2|2|10|10881|261|4624298
512|2|4|10|10881|182|4624298
512|2|8|10|10881|179|4624298
512|2|16|10|10881|167|4624298
512|2|32|10|10881|134|4624298
512|4|2|10|9316|186|4624298
512|4|4|10|9316|157|4624298
512|4|8|10|9316|142|4624298
512|4|16|10|9316|143|4624298
512|4|32|10|9316|144|4624298
512|8|2|10|9568|182|4624298
512|8|4|10|9568|169|4624298
512|8|8|10|9568|170|4624298
512|8|16|10|9568|152|4624298
512|8|32|10|9568|198|4624298
512|16|2|10|9129|178|4624298
512|16|4|10|9129|167|4624298
512|16|8|10|9129|203|4624298
512|16|16|10|9129|151|4624298
512|16|32|10|9129|152|4624298
512|32|2|10|9329|185|4624298
512|32|4|10|9329|193|4624298
512|32|8|10|9329|134|4624298
512|32|16|10|9329|140|4624298
512|32|32|10|9329|123|4624298
2|2|2|7|3998|151|548446
2|2|4|7|3998|156|548446
2|2|8|7|3998|156|548446
2|2|16|7|3998|188|548446
2|2|32|7|3998|142|548446
2|4|2|8|3715|151|548446
2|4|4|8|3715|127|548446
2|4|8|8|3715|159|548446
2|4|16|8|3715|123|548446
2|4|32|8|3715|141|548446
2|8|2|8|4082|142|548446
2|8|4|8|4082|163|548446
2|8|8|8|4082|130|548446
2|8|16|8|4082|136|548446
2|8|32|8|4082|107|548446
2|16|2|8|3813|147|548446
2|16|4|8|3813|136|548446
2|16|8|8|3813|140|548446
2|16|16|8|3813|112|548446
2|16|32|8|3813|103|548446
2|32|2|7|3878|105|548446
2|32|4|7|3878|112|548446
2|32|8|7|3878|105|548446
2|32|16|7|3878|108|548446
2|32|32|7|3878|121|548446
4|2|2|9|3813|122|561630
4|2|4|9|3813|142|561630
4|2|8|9|3813|151|561630
4|2|16|9|3813|139|561630
4|2|32|9|3813|125|561630
4|4|2|9|3519|124|561630
4|4|4|9|3519|137|561630
4|4|8|9|3519|128|561630
4|4|16|9|3519|137|561630
4|4|32|9|3519|130|561630
4|8|2|9|3821|144|561630
4|8|4|9|3821|130|561630
4|8|8|9|3821|143|561630
4|8|16|9|3821|137|561630
4|8|32|9|3821|132|561630
4|16|2|10|3556|127|561630
4|16|4|10|3556|123|561630
4|16|8|10|3556|124|561630
4|16|16|10|3556|127|561630
4|16|32|10|3556|125|561630
4|32|2|9|3394|130|561630
4|32|4|9|3394|135|561630
4|32|8|9|3394|156|561630
4|32|16|9|3394|141|561630
